epoch 3 [760/1668], valid loss: 33.53
epoch 3 [780/1668], valid loss: 33.38
epoch 3 [800/1668], valid loss: 33.39
epoch 3 [820/1668], valid loss: 33.94
epoch 3 [840/1668], valid loss: 33.66
epoch 3 [860/1668], valid loss: 33.76
epoch 3 [880/1668], valid loss: 34.09
epoch 3 [900/1668], valid loss: 34.79
epoch 3 [920/1668], valid loss: 34.61
epoch 3 [940/1668], valid loss: 34.75
epoch 3 [960/1668], valid loss: 35.62
epoch 3 [980/1668], valid loss: 35.89
epoch 3 [1000/1668], valid loss: 35.40
epoch 3 [1020/1668], valid loss: 35.48
epoch 3 [1040/1668], valid loss: 35.55
epoch 3 [1060/1668], valid loss: 35.03
epoch 3 [1080/1668], valid loss: 34.55
epoch 3 [1100/1668], valid loss: 34.54
epoch 3 [1120/1668], valid loss: 34.90
epoch 3 [1140/1668], valid loss: 34.75
epoch 3 [1160/1668], valid loss: 35.03
epoch 3 [1180/1668], valid loss: 34.89
epoch 3 [1200/1668], valid loss: 34.01
epoch 3 [1220/1668], valid loss: 34.02
epoch 3 [1240/1668], valid loss: 34.26
epoch 3 [1260/1668], valid loss: 34.23
epoch 3 [1280/1668], valid loss: 34.50
epoch 3 [1300/1668], valid loss: 35.05
epoch 3 [1320/1668], valid loss: 35.15
epoch 3 [1340/1668], valid loss: 34.78
epoch 3 [1360/1668], valid loss: 34.47
epoch 3 [1380/1668], valid loss: 33.64
epoch 3 [1400/1668], valid loss: 34.13
epoch 3 [1420/1668], valid loss: 35.22
epoch 3 [1440/1668], valid loss: 35.56
epoch 3 [1460/1668], valid loss: 35.52
epoch 3 [1480/1668], valid loss: 35.20
epoch 3 [1500/1668], valid loss: 35.09
epoch 3 [1520/1668], valid loss: 34.86
epoch 3 [1540/1668], valid loss: 34.24
epoch 3 [1560/1668], valid loss: 34.14
epoch 3 [1580/1668], valid loss: 34.38
epoch 3 [1600/1668], valid loss: 33.90
epoch 3 [1620/1668], valid loss: 34.64
epoch 3 [1640/1668], valid loss: 35.33
epoch 3 [1660/1668], valid loss: 35.53
Acc: tensor(0.7188)
epoch 4 [0/1668], valid loss: 35.73
epoch 4 [20/1668], valid loss: 35.42
epoch 4 [40/1668], valid loss: 35.03
epoch 4 [60/1668], valid loss: 35.31
epoch 4 [80/1668], valid loss: 35.69
epoch 4 [100/1668], valid loss: 35.37
epoch 4 [120/1668], valid loss: 35.21
epoch 4 [140/1668], valid loss: 34.57
epoch 4 [160/1668], valid loss: 34.76
epoch 4 [180/1668], valid loss: 34.79
epoch 4 [200/1668], valid loss: 34.77
epoch 4 [220/1668], valid loss: 34.85
epoch 4 [240/1668], valid loss: 36.03
epoch 4 [260/1668], valid loss: 36.07
epoch 4 [280/1668], valid loss: 36.16
epoch 4 [300/1668], valid loss: 36.01
epoch 4 [320/1668], valid loss: 35.61
epoch 4 [340/1668], valid loss: 35.73
epoch 4 [360/1668], valid loss: 35.92
epoch 4 [380/1668], valid loss: 36.62
epoch 4 [400/1668], valid loss: 36.16
epoch 4 [420/1668], valid loss: 35.57
epoch 4 [440/1668], valid loss: 36.36
epoch 4 [460/1668], valid loss: 36.49
epoch 4 [480/1668], valid loss: 36.23
epoch 4 [500/1668], valid loss: 36.35
epoch 4 [520/1668], valid loss: 36.56
epoch 4 [540/1668], valid loss: 36.70
epoch 4 [560/1668], valid loss: 37.20
epoch 4 [580/1668], valid loss: 37.40
epoch 4 [600/1668], valid loss: 36.44
epoch 4 [620/1668], valid loss: 35.95
epoch 4 [640/1668], valid loss: 35.12
epoch 4 [660/1668], valid loss: 35.20
epoch 4 [680/1668], valid loss: 35.19
epoch 4 [700/1668], valid loss: 35.56
epoch 4 [720/1668], valid loss: 35.49
epoch 4 [740/1668], valid loss: 35.40
epoch 4 [760/1668], valid loss: 36.17
epoch 4 [780/1668], valid loss: 37.01
epoch 4 [800/1668], valid loss: 36.48
epoch 4 [820/1668], valid loss: 36.40
epoch 4 [840/1668], valid loss: 37.07
epoch 4 [860/1668], valid loss: 36.63
epoch 4 [880/1668], valid loss: 35.88
epoch 4 [900/1668], valid loss: 36.05
epoch 4 [920/1668], valid loss: 35.52
